Date,Three_Mo
03/08/2017,0.86
03/07/2017,0.87
03/06/2017,0.83
03/03/2017,0.84
03/02/2017,0.84
03/01/2017,0.79
02/28/2017,0.69
02/27/2017,0.68
02/24/2017,0.65
02/23/2017,0.66
02/22/2017,0.68
02/21/2017,0.69
02/17/2017,0.66
02/16/2017,0.66
02/15/2017,0.67
02/14/2017,0.66
02/13/2017,0.63
02/10/2017,0.64
02/09/2017,0.64
02/08/2017,0.63
02/07/2017,0.63
02/06/2017,0.62
02/03/2017,0.63
02/02/2017,0.64
02/01/2017,0.65
01/31/2017,0.64
01/30/2017,0.63
01/27/2017,0.63
01/26/2017,0.62
01/25/2017,0.61
01/24/2017,0.62
01/23/2017,0.59
01/20/2017,0.62
01/19/2017,0.62
01/18/2017,0.63
01/17/2017,0.62
01/13/2017,0.61
01/12/2017,0.59
01/11/2017,0.60
01/10/2017,0.60
01/09/2017,0.60
01/06/2017,0.61
01/05/2017,0.62
01/04/2017,0.63
01/03/2017,0.65
